order_id,customer_id,order_date,delivery_date,product_category,quantity,unit_price,discount_percent,total_amount,status,currency
ORD-000001,CUST-00201,2023-05-01,2023-05-10,Software,30,383.53,5,"11,505.90",shipped,EUR
ORD-000002,CUST-00219,2023-07-26,2023-07-29,Services,28,483.77,5,"13,545.56",shipped,EUR
ORD-000003,CUST-00033,2024-08-05,2024-08-26,Services,33,309.09,0,"10,199.97",cancelled,EUR
ORD-000004,CUST-00020,2023-11-13,2023-12-04,Services,38,621.94,0,"23,633.72",pending,EUR
ORD-000005,CUST-00054,2024-02-28,2024-03-14,Hardware,38,510.84,10,"19,411.92",delivered,EUR
ORD-000006,CUST-00069,2023-09-27,2023-10-02,Software,20,192.16,15,"3,843.20",cancelled,EUR
ORD-000007,CUST-00107,2023-12-17,2024-01-07,Services,26,846.99,0,,shipped,EUR
ORD-000008,CUST-00198,2023-04-19,2023-04-20,Hardware,17,288.66,0,"4,907.22",confirmed,EUR
ORD-000009,CUST-00176,2024-01-23,2024-02-10,Software,39,378.61,0,"14,765.79",pending,EUR
ORD-000010,CUST-00064,03/12/2024,2024-03-21,Consumables,15,488.76,20,"7,331.40",delivered,EUR
ORD-000011,CUST-00017,2024-05-15,2024-05-26,Consumables,25,166.41,5,"4,160.25",shipped,EUR
ORD-000012,CUST-00134,2023-12-18,2023-12-27,Software,14,174.47,15,"2,442.58",confirmed,EUR
ORD-000013,CUST-00214,2024-01-31,2024-02-20,Consumables,38,498.77,10,"18,953.26",shipped,EUR
ORD-000014,CUST-00143,2024-05-16,2024-05-23,Hardware,6,331.55,20,"-1,989.30",delivered,EUR
ORD-000015,CUST-00120,2023-10-05,2023-10-26,Hardware,22,402.56,20,"8,856.32",pending,EUR
ORD-000016,CUST-00012,2023-02-03,2023-02-06,hardware,18,445.42,10,"8,017.56",delivered,EUR
ORD-000017,CUST-00173,2024-07-24,2024-08-08,Services,6,195.14,10,"1,170.84",shipped,EUR
ORD-000018,CUST-00037,2024-01-09,2024-01-30,Consumables,35,129.43,0,"4,530.05",cancelled,EUR
ORD-000019,CUST-00053,2024-05-20,2024-06-01,Hardware,8,497.41,0,"3,979.28",shipped,EUR
ORD-000020,,2024-06-30,2024-07-04,Software,34,183.52,15,"6,239.68",confirmed,EUR
ORD-000021,CUST-00154,2024-02-12,2024-02-16,Services,19,490.68,15,"9,322.92",cancelled,EUR
ORD-000022,CUST-00038,2023-11-19,2023-12-04,Software,4,871.26,0,"3,485.04",pending,EUR
ORD-000023,CUST-00042,2023-02-06,2023-02-10,Software,36,206.04,5,"$7,417.44",cancelled,EUR
ORD-000024,CUST-00136,2023-10-20,2023-10-30,Software,38,864.94,0,"32,867.72",delivered,EUR
ORD-000025,CUST-00197,2023-06-14,2023-06-20,Software,21,810.31,10,"17,016.51",cancelled,EUR
ORD-000026,CUST-00101,2024-07-29,2024-08-05,Services,28,166.25,10,"4,655.00",shipped,EUR
ORD-000027,CUST-00144,2024-02-05,2024-02-15,Services,40,614.5,20,"24,580.00",delivered,EUR
ORD-000028,CUST-00079,2024-01-03,2024-01-22,Software,0,378.31,5,"12,484.23",delivered,EUR
ORD-000029,CUST-00165,2024-10-20,2024-10-31,Services,18,760.04,20,"13,680.72",cancelled,EUR
ORD-000030,CUST-00050,2023-03-14,2023-03-20,Software,10,284.26,10,"2,842.60",pending,EUR
ORD-000031,CUST-00112,2023-12-10,2023-12-18,Hardware,13,625.71,20,"8,134.23",DELIVERED,EUR
ORD-000032,CUST-00057,2024-11-05,2024-11-21,Software,39,799.95,5,"31,198.05",pending,EUR
ORD-000033,CUST-00079,2023-02-23,2023-03-05,Software,31,240.75,10,"7,463.25",shipped,EUR
ORD-000034,CUST-00131,2023-03-30,2023-04-20,Software,32,799.58,0,"25,586.56",shipped,EUR
ORD-000035,CUST-00026,2024-04-04,2024-04-10,Hardware,21,504.78,0,"10,600.38",confirmed,EUR
ORD-000036,CUST-00144,2024-09-10,2024-09-19,Hardware,4,310.59,0,"1,242.36",cancelled,EUR
ORD-000037,CUST-00124,2024-04-14,2024-05-02,Consumables,36,126.03,120,"4,537.08",pending,EUR
ORD-000038,CUST-00011,2023-11-17,2023-12-06,Hardware,36,814.9,5,"29,336.40",confirmed,EUR
ORD-000039,CUST-00074,2024-10-11,2024-10-12,Consumables,36,893.5,15,"32,166.00",confirmed,EUR
ORD-000040,CUST-00098,2023-07-10,2023-07-21,Software,16,397.44,20,"6,359.04",cancelled,EUR
ORD-000041,CUST-00115,2024-06-14,2024-06-26,Services,38,616.65,0,"23,432.70",delivered,EUR
ORD-000042,CUST-00156,2023-06-31,2024-04-29,Software,17,795.29,0,"13,519.93",delivered,EUR
ORD-000043,CUST-00098,2024-08-04,2024-08-21,Services,3,299.89,5,899.67,delivered,EUR
ORD-000044,CUST-00044,2024-08-15,2024-08-24,Software,31,574.75,20,"17,817.25",shipped,EUR
ORD-000045,CUST-00019,2024-06-27,2024-07-04,Software,10,474.29,10,"4,742.90",shipped,EUR
ORD-000046,CUST-00205,2023-11-02,2023-11-17,Services,12,855.03,5,"10,260.36",confirmed,EUR
ORD-000047,CUST-00173,2024-09-04,2024-09-05,Hardware,24,107.18,15,"2,572.32",cancelled,EUR
ORD-000048,CUST-00127,2024-02-19,2024-03-01,Hardware,8,110.79,0,886.32,delivered,EUR
ORD-000049,CUST-00056,2023-09-17,2023-09-28,Services,6,853.81,20,,cancelled,EUR
ORD-000050,CUST-00092,2023-07-02,2023-07-14,Hardware,25,794.19,15,"19,854.75",cancelled,EUR
ORD-000051,CUST-00105,2023-10-26,2023-10-30,Consumables,12,470.52,0,"5,646.24",delivered,EUR
ORD-000052,CUST-00074,2024-08-20,2024-08-28,Software,10,198.82,0,"1,988.20",delivered,EUR
ORD-000053,CUST-00126,2023-03-05,2023-03-23,Software,39,813.47,10,"31,725.33",in transit,EUR
ORD-000054,CUST-00034,2023-05-09,2023-05-13,Services,29,509.58,20,"14,777.82",shipped,EUR
ORD-000055,CUST-00147,2024-10-02,2024-10-14,Consumables,31,891.39,0,"27,633.09",cancelled,EUR
ORD-000056,CUST-00116,2023-11-20,2023-11-28,Software,4,873.17,0,"3.492,68",pending,EUR
ORD-000057,CUST-00196,2023-10-01,2023-10-17,Software,7,458.86,5,"3,212.02",cancelled,EUR
ORD-000058,CUST-00069,2023-08-11,2023-08-24,Consumables,11,168.69,0,"1,855.59",delivered,EUR
ORD-000059,CUST-00101,2024-02-12,2024-03-04,Services,24,457.11,20,"10,970.64",cancelled,EUR
ORD-000060,CUST-00118,2023-06-29,2023-07-20,Hardware,18,294.04,15,"5,292.72",pending,EUR
ORD-000061,CUST-00049,2023-08-28,2023-09-09,Services,2,93.4,15,186.80,pending,EUR
ORD-000062,CUST-00082,2023-05-06,2023-05-09,Hardware,22,213.72,5,"4,701.84",shipped,EUR
