supplier_id,supplier_name,contact_email,country,vat_number,onboarded_on,annual_spend,rating
SUP-0001,Globex Oy,contact@globex-1.example.com,PT,PT520800036,2023-05-27,"197,828.17",B
SUP-0002,Hooli AB,contact@hooli-2.example.com,ES,ES476575933,2021-12-27,"286,603.74",A
SUP-0003,Vandelay SL,,BE,BE897014897,2023-10-16,"429,092.14",C
SUP-0004,Northwind S.p.A.,contact@northwind-4.example.com,BE,BE145804401,2024-01-19,"711,233.50",C
SUP-0005,Wayne GmbH,contact@wayne-5.example.com,NL,NL288994224,2019-04-05,"313,007.54",B
SUP-0006,Wonka Ltd,contact@wonka-6.example.com,SE,SE292350475,2020-09-18,"£157,717.05",C
SUP-0007,Initech SAS,contact@initech-7.example.com,NL,NL445297687,2024-04-12,"45,592.35",C
SUP-0008,Initech BV,contact@initech-8.example.com,DE,123456789,2020-10-04,"326,668.54",A
SUP-0009,Globex SAS,contact@globex-9.example.com,Spain,ES415960913,2022-05-25,"313,955.08",B
SUP-0010,Vandelay GmbH,contact@vandelay-10.example.com,PT,PT881415801,2020-04-11,"406,246.02",B
SUP-0011,Tyrell BV,contact@tyrell-11.example.com,PT,PT911838188,2021-05-12,"369,326.99",D
SUP-0012,Initech S.p.A.,contact@initech-12.example.com,DE,,2022-12-04,"741,919.20",D
SUP-0013,Hooli BV,contact@hooli-13.example.com,NL,NL827124226,2020-03-09,"142,893.62",C
SUP-0014,Initech SAS,contact@,PT,PT643663053,2022-01-31,"111,400.46",D
SUP-0015,Wayne AB,contact@wayne-15.example.com,SE,SE104551959,2021-01-10,"304,884.06",B
SUP-0016,Northwind SL,contact@northwind-16.example.com,BE,BE372101336,2021-06-23,"229,231.31",A
SUP-0017,Gringotts Ltd,contact@gringotts-17.example.com,FR,FR308703789,2021-09-30,"104,011.87",A
SUP-0018,Globex Oy,contact@globex-18.example.com,DE,DE233708622,2022-07-17,"505,755.05",C
SUP-0019,Stark AB,contact@stark-19.example.com,NL,NL580768687,2019-10-03,"674,343.80",D
SUP-0020,Northwind Oy,contact@northwind-20.example.com,DE,DE598748735,2021-08-22,"158,495.39",A
SUP-0021,Vandelay AB,contact@vandelay-21.example.com,ES,ES515332833,2023-12-23,"650,053.12",A
SUP-0022,Umbrella S.p.A.,contact@umbrella-22.example.com,PT,PT725140827,2023-09-12,"523,432.73",C
SUP-0023,Wayne GmbH,contact@wayne-23.example.com,NL,NL791284181,2024-05-23,"571,878.76",C
SUP-0024,Northwind S.p.A.,contact@northwind-24.example.com,SE,SE194574510,2026-11-28,"600,143.45",A
SUP-0025,Northwind SAS,contact@northwind-25.example.com,DE,DE185230568,2023-11-12,"509,564.33",B
SUP-0026,Hooli BV,contact@hooli-26.example.com,BE,BE962096072,2020-03-29,"280,414.14",D
SUP-0027,Initech AB,contact@initech-27.example.com,FR,FR833048759,2019-12-09,"188,616.46",D
SUP-0028,Initech SL,contact@initech-28.example.com,ES,ES293515571,2022-06-03,"501,418.22",C
SUP-0029,Hooli GmbH,contact@hooli-29.example.com,BE,BE846446628,2021-01-06,"585,927.92",C
SUP-0030,Stark SL,,BE,BE644024988,2022-10-09,"432,310.57",D
SUP-0031,Wonka BV,contact@wonka-31.example.com,SE,SE700496165,2023-05-03,"241,233.66",C
SUP-0032,Tyrell GmbH,contact@tyrell-32.example.com,IT,IT341334074,2022-07-26,"147,730.75",B
SUP-0033,Stark GmbH,contact@stark-33.example.com,NL,NL716199686,2020-02-08,"521,006.95",D
SUP-0034,Umbrella Ltd,contact@umbrella-34.example.com,SE,SE789664930,2022-09-11,"704,822.40",D
SUP-0035,Umbrella Oy,contact@umbrella-35.example.com,it,IT424688298,2019-02-13,"558,769.21",D
SUP-0036,Soylent BV,contact@soylent-36.example.com,BE,BE215111911,2024-02-19,"458,223.03",C
SUP-0037,Globex Oy,contact@globex-37.example.com,NL,NL557111160,2024-03-27,"613,540.81",B
SUP-0038,Northwind BV,contact@northwind-38.example.com,SE,SE355856965,2022-02-13,"578,871.19",A
SUP-0039,Initech Ltd,contact@initech-39.example.com,IT,IT264118362,2022-05-22,"49,459.66",D
SUP-0040,Stark BV,contact@stark-40.example.com,FR,FR132408861,2023-05-09,"438,168.61",B
SUP-0041,Tyrell Oy,contact@tyrell-41.example.com,PT,PT540517863,2019-08-22,"£238,222.45",A
SUP-0042,Wayne Ltd,contact@wayne-42.example.com,SE,SE693591479,2022-08-11,"518,214.66",B
SUP-0043,Acme BV,contact@acme-43.example.com,FR,FR457852876,2023-02-09,"171,742.21",B
SUP-0044,Hooli SL,contact@hooli-44.example.com,NL,NL560349748,2020-05-12,"637,424.65",D
SUP-0045,Vandelay BV,contact@vandelay-45.example.com,NL,FR-123,2023-06-18,"351,072.46",C
SUP-0046,Wayne BV,contact@wayne-46.example.com,IT,IT29871347,2021-05-16,"628,900.30",A
SUP-0047,Vandelay SL,contact@vandelay-47.example.com,BE,BE466817944,2023-06-10,"291,732.09",D
SUP-0048,Acme S.p.A.,contact@acme-48.example.com,BE,BE715302555,2020-01-20,"617,821.68",C
SUP-0049,Cyberdyne S.p.A.,contact@cyberdyne-49.example.com,SE,SE89614543,2020-03-12,"513,228.43",C
SUP-0050,Soylent S.p.A.,contact@soylent-50.example.com,SE,SE980706844,2023-04-12,"517,171.72",C
SUP-0051,Hooli SAS,contact@hooli-51.example.com,NL,NL127482959,2021-12-22,"723,588.80",A
SUP-0052,Northwind SL,contact@northwind-52.example.com,DE,DE131840287,2020-07-17,"374,237.63",A
SUP-0053,Northwind SL,no-at-sign.example.com,BE,BE106503528,2024-04-27,"629,200.78",C
SUP-0054,Soylent S.p.A.,contact@soylent-54.example.com,PT,PT957169729,2020-08-16,"271,982.51",A
SUP-0055,Cyberdyne BV,contact@cyberdyne-55.example.com,IT,IT566272765,2023-07-15,"309,401.59",A
SUP-0056,Hooli SAS,contact@hooli-56.example.com,PT,PT636567844,2023-08-16,"118,545.15",C
SUP-0057,Umbrella SAS,contact@umbrella-57.example.com,ES,ES535959028,2019-05-08,"452,899.32",D
SUP-0058,Stark S.p.A.,contact@stark-58.example.com,DE,DE886171578,2019-09-15,"341,987.69",B
SUP-0059,Initech GmbH,contact@initech-59.example.com,NL,NL942162849,2021-02-30,"638,147.93",D
SUP-0060,Soylent AB,contact@soylent-60.example.com,PT,PT264826834,2022-05-22,"240,288.36",D
SUP-0061,Umbrella SAS,contact@umbrella-61.example.com,BE,BE999796583,2019-03-28,"204,036.03",C
SUP-0062,Tyrell Oy,contact@tyrell-62.example.com,ES,ES470790500,2023-09-08,"469,611.11",B
SUP-0063,Initech BV,contact@initech-63.example.com,PT,PT685802023,2023-03-18,"458,016.97",D
SUP-0064,Globex SL,,PT,PT403992310,2021-10-27,"475,307.95",D
SUP-0065,Acme BV,contact@acme-65.example.com,IT,IT310915258,2020-10-16,"361,145.04",A
SUP-0066,Cyberdyne Ltd,contact@cyberdyne-66.example.com,ES,ES841889494,2019-02-24,"74,969.95",B
SUP-0067,Vandelay AB,contact@vandelay-67.example.com,DE,DE141588079,2020-11-07,"175,783.69",C
SUP-0068,Globex GmbH,contact@globex-68.example.com,PT,PT354020325,2023-06-14,"73,489.90",C
SUP-0069,Vandelay Ltd,contact@vandelay-69.example.com,NL,NL682199526,2020-04-11,"527,834.79",D
SUP-0070,Stark Ltd,contact@stark-70.example.com,de,DE502633946,2020-09-24,"149,703.92",B
SUP-0071,Soylent GmbH,contact@soylent-71.example.com,IT,IT983811275,2024-01-03,"509,560.79",C
SUP-0072,Tyrell Oy,contact@tyrell-72.example.com,IT,IT423693106,2023-12-05,"392,895.01",B
SUP-0073,Umbrella GmbH,contact@umbrella-73.example.com,IT,IT397007056,2021-12-09,"250,538.38",D
SUP-0074,Wayne S.p.A.,contact@wayne-74.example.com,NL,NL457414519,2019-09-04,"354,388.88",A
SUP-0075,Northwind AB,contact@northwind-75.example.com,DE,DE239289162,2022-01-25,"725,512.29",B
SUP-0076,Vandelay AB,contact@vandelay-76.example.com,FR,FR784944872,2022-10-29,"224,856.94",B
SUP-0077,Wonka Oy,contact@wonka-77.example.com,PT,PT943306128,2022-01-10,"464,556.64",C
SUP-0078,Stark Ltd,contact@stark-78.example.com,ES,,2022-10-15,"723,425.69",D
SUP-0079,Hooli Oy,contact@hooli-79.example.com,NL,NL338288888,2022-05-08,"47,463.09",D
SUP-0080,Wonka BV,contact@wonka-80.example.com,DE,DE17018635,2024-06-09,"478,376.47",D
SUP-0081,Tyrell Oy,contact@tyrell-81.example.com,DE,DE732542874,2024-05-22,"231,217.45",C
SUP-0082,Soylent SAS,contact@soylent-82.example.com,NL,NL766889519,2024-01-09,"£116,899.66",A
SUP-0083,Wayne SL,contact@wayne-83.example.com,IT,IT701327052,2020-10-13,"185,081.51",D
SUP-0084,Hooli BV,contact@hooli-84.example.com,DE,DE580610400,2023-03-04,"698,478.80",A
SUP-0085,Stark Oy,contact@stark-85.example.com,DE,DE388932252,2019-10-28,"54,300.90",C
SUP-0086,Soylent Ltd,contact@soylent-86.example.com,SE,SE383504756,2023-04-01,"512,500.16",A
SUP-0087,Cyberdyne SAS,contact@cyberdyne-87.example.com,PT,fr123456789,2023-01-20,"553,326.39",A
SUP-0088,Wonka AB,contact@wonka-88.example.com,BE,BE757664213,2024-03-15,"471,938.57",C
SUP-0089,Umbrella S.p.A.,contact@umbrella-89.example.com,FR,FR911414980,2023-06-22,"569,330.28",C
SUP-0090,Stark AB,contact@stark-90.example.com,IT,IT992955399,2021-09-18,"616,056.85",A
SUP-0091,Soylent S.p.A.,contact@soylent-91.example.com,SE,SE578100241,2019-04-17,"84,533.56",B
SUP-0092,Cyberdyne Ltd,contact@cyberdyne-92.example.com,IT,IT886792788,2020-11-24,"119,757.66",A
SUP-0093,Northwind BV,contact@northwind-93.example.com,DEU,DE798679963,2022-11-22,"460,602.12",D
