ID_NLS;TIPO;RIC;PR;COMUNE;INDIR_ORIG;ZIP;ISTAT;DENOM_IMPRES;INSEGNA;INIZIO_ATT;ANNO_RICONOSCIMENTO;CAT_MERC;MUNICIPIO;ID_NIL;NIL;geo_x;geo_y;Location
4519148;Locale storico;Locale storico;MI;MILANO;VIA TERRAGGIO 20;20123;15146;METRO' 2 S.R.L.;BOCCONDIVINO;1976;2023;Ristorazione;1;1;DUOMO;9.17551;45.46503;(45.46503, 9.17551)
6359;Locale storico;Storica attività;MI;MILANO;Via Veglia, 57;20121;15146;Garbagnati le SpecialitÃ  srl;GARBAGNATI - PANETTERIA PASTICCERIA;1937;2010;Gelaterie, pasticcerie e torrefazioni;9;12;MACIACHINI - MAGGIOLINA;9.19506243;45.50003239;(45.50003239, 9.19506243)
7540;Negozio storico;Storica attività;MI;MILANO;VIA LUPETTA, 5;20123;15146;OREFICERIA LUPETTA S.R.L.;OREFICERIA LUPETTA;1934;2015;Preziosi;1;1;DUOMO;9.1865742;45.4618446;(45.4618446, 9.1865742)
7184;Negozio storico;Negozio storico;MI;MILANO;VIALE CAMPANIA , 30;20133;15146;IL GIOIELLO SRL;IL GIOIELLO CREPERIO C.E.;1957;2011;Preziosi;4;25;CORSICA;9.2242046;45.465076;(45.465076, 9.2242046)
7771;Negozio storico;Storica attività;MI;MILANO;VIA ANDREA SOLARI, 46;20144;15146;OCCHIALI PELO S.N.C. DEI F.LLI PELO E GRAZIELLA MARCUOLA;OCCHIALI PELO DAL 1930;1930;2017;Ottica e fotografia;6;50;PORTA GENOVA;9.1585946;45.4540273;(45.4540273, 9.1585946)
6431;Negozio storico;Storica attività;MI;MILANO;Via Santa Sofia, 1;20122;15146;Boscani Nova sas;BOSCANI NOVA - TENDE IN LEGNO E TAPPETI;1904;2010;Casa e arredamento;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.1930118;45.4573053;(45.4573053, 9.1930118)
8177;Negozio storico;Storica attività;MI;MILANO;VIALE REGINA GIOVANNA, 36;20129;15146;LUIGI GALVANI;LUIGI GALVANI;1933;2019;Preziosi;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.2136429;45.473338;(45.473338, 9.2136429)
2784269;Bottega artigiana storica;Storica attività artigiana;MI;MILANO;VIA DELLE FORZE ARMATE 0246;20152;15146;TINTORIA LAURA DI PIZZAMIGLIO SILVANA;TINTORIA LAURA;1961;2021;Abbigliamento e accessori;7;56;FORZE ARMATE;9.1081326;45.4604381;(45.4604381, 9.1081326)
6225;Locale storico;Storica attività;MI;MILANO;VIA LIPARI, 2;20144;15146;3A S.N.C. DI DI PIETRO MASSIMO & C.;WALTER BULLONI - ENOTECA;1933;2010;Bar e tabaccheria;7;51;PORTA MAGENTA;9.1623998;45.4615236;(45.4615236, 9.1623998)
3195358;Negozio storico;Storica attività;MI;MILANO;VIALE MONTE CENERI 78;20155;15146;MALINVERNO STEFANO;IL MACELLAIO DI MALINVERNO;1954;2021;Alimentari e specialità alimentari;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.1517728;45.4904898;(45.4904898, 9.1517728)
7216;Negozio storico;Storica attività;MI;MILANO;Via Paolo Sarpi, 11;20154;15146;Mantellato S.R.L.;MANTELLATO OREFICERIA, ARGENTERIA, OROLOGERIA;1938;2012;Preziosi;1;69;SARPI;9.179267;45.4815931;(45.4815931, 9.179267)
6409;Negozio storico;Negozio storico;MI;MILANO;Via Spadari, 9;20123;15146;Peck S.p.a.;PECK;1883;2010;Alimentari e specialità alimentari;1;1;DUOMO;9.1869822;45.4635405;(45.4635405, 9.1869822)
6202;Negozio storico;Negozio storico;MI;MILANO;Via Valpetrosa, 1;20123;15146;Fratelli Chiaravalli S.r.l.;GIOIELLERIA CHIARAVALLI;1915;2010;Preziosi;1;1;DUOMO;9.1854415;45.4624488;(45.4624488, 9.1854415)
6247;Negozio storico;Storica attività;MI;MILANO;CORSO VENTIDUE MARZO 22;20135;15146;libreria malavasi s.a.s. di malavasi maurizio & c.;LIBRERIA MALAVASI;1940;2010;Cartoleria e libreria;;;;;;
5451222;Negozio storico;Storica attività;MI;MILANO;PIAZZA ANTONIO GRAMSCI 12;20154;15146;D'AUGUSTA ROBERTO;D'AUGUSTA GIOIELLI;1966;2024;Preziosi;8;69;SARPI;9.1683058;45.4822942;(45.4822942, 9.1683058)
7770;Negozio storico;Storica attività;MI;MILANO;VIALE FULVIO TESTI, 78;20126;15146;EREDI FARINA S.A.S. DI ROMUALDO E SILVANO FARINA E C.;CASALINGHI FERRAMENTA FARINA;1951;2017;Attrezzature;9;13;GRECO - SEGNANO;9.2026904;45.5092198;(45.5092198, 9.2026904)
6959;Negozio storico;Storica attività;MI;MILANO;Via Manzoni, 11;20121;15146;Frette S.r.l.;BIANCHERIA PER LA CASA FRETTE;1877;2010;Casa e arredamento;1;2;BRERA;9.19135427;45.46875993;(45.46875993, 9.19135427)
6214;Negozio storico;Storica attività;MI;MILANO;Via G.Morone, 3;20121;15146;Antica Barbieria Colla;ANTICA BARBIERIA COLLA;1904;2010;Cura della persona;1;1;DUOMO;9.1918471;45.4681106;(45.4681106, 9.1918471)
6241;Negozio storico;Storica attività;MI;MILANO;CORSO MAGENTA, 31;20123;15146;GROSSI ALFREDO FRANCESCO;DROGHERIA GROSSI;1928;2010;Alimentari e specialità alimentari;1;1;DUOMO;9.1761138;45.4658545;(45.4658545, 9.1761138)
7838;Negozio storico;Storica attività;MI;MILANO;PIAZZALE LAGOSTA, 10;20124;15146;BABY STELLA DI SABATINI CLAUDIA;BABY STELLA;1962;2018;Abbigliamento e accessori;9;11;ISOLA;9.1918137;45.4892748;(45.4892748, 9.1918137)
6765;Negozio storico;Storica attività;MI;MILANO;PIAZZA LIMA, 3;20124;15146;Gioielleria del Corso srl;GIOIELLERIA DEL CORSO;1958;2010;Preziosi;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.2110033;45.4806042;(45.4806042, 9.2110033)
6433;Negozio storico;Storica attività;MI;MILANO;CORSO PORTA TICINESE, 18;20123;15146;ditta individuale;FRATELLI BERNASCONI;1890;2010;Miscellanea;1;1;DUOMO;9.1809561;45.4586228;(45.4586228, 9.1809561)
7723;Negozio storico;Storica attività;MI;MILANO;VIA DOGANA, 2;20123;15146;CAMICERIA MILANESE DI DEANGELIS ROSSANA;CAMICERIA MILANESE;1922;2018;Abbigliamento e accessori;1;1;DUOMO;9.1891112;45.4633435;(45.4633435, 9.1891112)
6414;Negozio storico;Storica attività;MI;MILANO;PIAZZA OBERDAN, 2;20129;15146;ditta individuale;IL PANIFICIO DI PESCE CARMELA;1925;2010;Alimentari e specialità alimentari;1;4;GUASTALLA;9.2061519;45.4739427;(45.4739427, 9.2061519)
6855;Negozio storico;Storica attività;MI;MILANO;Piazzale Medaglie d'Oro, 3;20135;15146;La Tramite S.r.l.;LIBRERIA LA TRAMITE;1946;2010;Cartoleria e libreria;4;27;PTA ROMANA;9.2030868;45.452178;(45.452178, 9.2030868)
6761;Negozio storico;Storica attività;MI;MILANO;CORSO MAGENTA, 25;20123;15146;E.E. Ercolessi di Paola Anna Maggi e C. sas;E.E. ERCOLESSI;1921;2010;Cartoleria e libreria;1;1;DUOMO;9.1774001;45.4658583;(45.4658583, 9.1774001)
4451970;Negozio storico;Negozio storico;MI;MILANO;VIA CARADOSSO 2;20123;15146;BERNARDINI S.R.L. - LUXURY VINTAGE;BERNARDINI;1982;2023;Preziosi;1;7;MAGENTA - S. VITTORE;9.1721049;45.4659356;(45.4659356, 9.1721049)
7698;Negozio storico;Storica attività;MI;MILANO;VIA CASTEL MORRONE, 2;20129;15146;PISA DI PISA ELISABETTA E LAURA S.N.C.;PISA;1953;2016;Preziosi;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.2149246;45.4687292;(45.4687292, 9.2149246)
8174;Negozio storico;Storica attività;MI;MILANO;PIAZZA BRUNO BUOZZI, 2;20135;15146;GIANNASI 1967 SRL;GIANNASI 1967 MILANO PORTA ROMANA;1966;2019;Alimentari e specialità alimentari;5;27;PTA ROMANA;9.20602;45.44966;(45.44966, 9.20602)
7430;Negozio storico;Storica attività;MI;MILANO;VIA GIOVANNI SCHIAPARELLI, 4;20125;15146;FARMACIA PONTE SEVESO DI BENZI GIORGIO;FARMACIA PONTE SEVESO;1888;2015;Salute e benessere;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.205393;45.4895744;(45.4895744, 9.205393)
6361;Negozio storico;Storica attività;MI;MILANO;CORSO VERCELLI, 16;20145;15146;Gemelli SRL;GEMELLI - ABBIGLIAMENTO;1927;2010;Abbigliamento e accessori;7;68;PAGANO;9.1620801;45.4664804;(45.4664804, 9.1620801)
6318;Negozio storico;Negozio storico;MI;MILANO;Galleria Vittorio Emanuele, 5;20121;15146;Cade' S.r.l.;CADE';1926;2010;Abbigliamento e accessori;1;1;DUOMO;9.18989;45.46496;(45.46496, 9.18989)
6362284;Negozio storico;Storica attività;MI;MILANO;VIA CREMA 0011;20135;15146;LOFAS SPRINT S.R.L.;LEONE SPORT;1947;2025;Abbigliamento e accessori;5;27;PTA ROMANA;9.2027845;45.4496519;(45.4496519, 9.2027845)
3203197;Locale storico;Storica attività;MI;MILANO;VIA CELLINI 0003;20129;15146;VIA S.RL.;LA BAIA;1976;2021;Ristorazione;4;26;XXII MARZO;9.2087084;45.4627683;(45.4627683, 9.2087084)
6330607;Locale storico;Storica attività;MI;MILANO;PIAZZA DEL LIBERTY 0008;20121;15146;RISTORANTE CHARLESTON S.R.L.;RISTORANTE CHARLESTON;1978;2025;Ristorazione;1;1;DUOMO;9.1940293;45.4656134;(45.4656134, 9.1940293)
6388;Negozio storico;Storica attività;MI;MILANO;Corso Europa, 18;20122;15146;Margherita S.a.s.;MARGHERITA;1925;2010;Abbigliamento e accessori;1;1;DUOMO;9.1971524;45.4648052;(45.4648052, 9.1971524)
7581;Negozio storico;Storica attività;MI;MILANO;VIALE SABOTINO, 2;20135;15146;BOATI CLAUDIO SAS DI BOATI CHIARA E GIULIA;CARTOLERIA BOATI CLAUDIO;1942;2017;Cartoleria e libreria;5;27;PTA ROMANA;9.1971159;45.4508039;(45.4508039, 9.1971159)
4572479;Negozio storico;Negozio storico;MI;MILANO;VIALE PISA 37;20146;15146;CANTINE FRATELLI SIMONE S.A.S. DI BRANCATI ROBERTO & C.;CANTINE FRATELLI SIMONE;1968;2023;Alimentari e specialità alimentari;;;;;;
8546;Locale storico;Locale storico;MI;MILANO;VIA GIOVANNI MORELLI, 4;20129;15146;COMMERCIALE BRIOS S.R.L.;GRAN CAFÈ & TRE MARIE;1978;2020;Bar e tabaccheria;1;4;GUASTALLA;9.2063183;45.4718264;(45.4718264, 9.2063183)
5437343;Bottega artigiana storica;Storica attività artigiana;MI;MILANO;VIA EUGENIO VILLORESI 8;20143;15146;GERLA S.R.L.;GERLA - LE FEDI;1965;2024;Preziosi;6;44;PORTA TICINESE - CONCHETTA;9.1624734;45.4482701;(45.4482701, 9.1624734)
6229;Negozio storico;Storica attività;MI;MILANO;Galleria Buenos Aires, 12;20124;15146;F.lli Bugada srl;DITTA D. COLLINI F.LLI BUGADA - CASALINGHI;1883;2010;Casa e arredamento;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.2108795;45.4794312;(45.4794312, 9.2108795)
6316;Negozio storico;Storica attività;MI;MILANO;VIA CASORETTO, 5;20131;15146;BAGATTI DANIELE;BOTTEGA ARTIGIANA BRONZISTI BOTTEGA BAGATTI;1927;2010;Attrezzature;3;20;LORETO - CASORETTO - NOLO;9.2252988;45.4888834;(45.4888834, 9.2252988)
8157;Locale storico;Locale storico;MI;MILANO;VIA DELLA CHIESA ROSSA, 113;20142;15146;OSTERIA DELLA CONCA FALLATA S.A.S. DI MASCOLI ANDREA & C.;OSTERIA DELLA CONCA FALLATA;1969;2019;Ristorazione;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.1697494;45.4260103;(45.4260103, 9.1697494)
7189;Negozio storico;Storica attività;MI;MILANO;Via Dogana, 2;20123;15146;Laluna s.n.c. di Bruno Roberto Benedetto & C.;LALUNA - ABBIGLIAMENTO;1951;2012;Abbigliamento e accessori;1;1;DUOMO;9.1891112;45.4633435;(45.4633435, 9.1891112)
6363;Negozio storico;Storica attività;MI;MILANO;Via Olmetto, 10;20123;15146;Fortura Giocattoli S.r.l.;FORTURA GIOCATTOLI;1919;2010;Sport e tempo libero;1;1;DUOMO;9.1850515;45.4593576;(45.4593576, 9.1850515)
6681;Negozio storico;Storica attività;MI;MILANO;VIA PIETRO VERRI, 10;20121;15146;LARUS RE S.R.L.;LARUSMIANI;1929;2010;Abbigliamento e accessori;1;1;DUOMO;9.1950692;45.4679596;(45.4679596, 9.1950692)
7237;Negozio storico;Storica attività;MI;MILANO;Corso Buenos Aires, 53;20124;15146;La Stilografica S.r.l.;LA STILOGRAFICA - PENNE TIMBRI E TARGHE;1926;2011;Cartoleria e libreria;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.2123324;45.4819375;(45.4819375, 9.2123324)
7648;Negozio storico;Storica attività;MI;MILANO;VIA PIERO DELLA FRANCESCA, 31;20154;15146;DOODAD S.A.S. DI IVAN FECOLA & C.;GUFFANTI IMPIANTI;1934;2016;Attrezzature;8;69;SARPI;9.163742;45.4839111;(45.4839111, 9.163742)
6236;Negozio storico;Storica attività;MI;MILANO;Viale Bligny, 66;20136;15146;Prato Tranquillo snc;FERRAMENTA CASALINGHI PRATO TRANQUILLO;1927;2010;Attrezzature;5;5;PORTA VIGENTINA - PORTA LODOVICA;9.19668719;45.45093782;(45.45093782, 9.19668719)
7311;Locale storico;Storica attività;MI;MILANO;corso Genova, 1;20123;15146;PASTICCERIA CUCCHI S.R.L.;PASTICCERIA CUCCHI;1934;2013;Ristorazione;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.177417;45.4583525;(45.4583525, 9.177417)
6385;Negozio storico;Storica attività;MI;MILANO;VIA MAURIZIO GONZAGA, 6;20123;15146;MACRI' ANTONIO;ACCONCIATURE LUI E LEI;1937;2010;Cura della persona;1;1;DUOMO;9.1887847;45.4615113;(45.4615113, 9.1887847)
7830;Negozio storico;Storica attività;MI;MILANO;VIALE MONTE NERO, 73;20135;15146;INVERNIZZI ORESTE S.A.S. DI INVERNIZZI VITTORIO E C.;INVERNIZZI;1923;2018;Attrezzature;1;4;GUASTALLA;9.2074365;45.4611684;(45.4611684, 9.2074365)
7436;Negozio storico;Storica attività;MI;MILANO;VIA RODOLFO CARABELLI, 1;20137;15146;PANETTERIA ANFOSSI SNC DI GIORGIO ANFOSSI E C.;PASTICCERIA ANFOSSI;1961;2015;Gelaterie, pasticcerie e torrefazioni;4;28;UMBRIA - MOLISE - CALVAIRATE;9.2212339;45.4503749;(45.4503749, 9.2212339)
3958427;Bottega artigiana storica;Storica attività artigiana;MI;MILANO;VIALE MOLISE 59;20137;15146;VIGNATI NARCISO;CV - CISO VIGNATI;1963;2023;Cura della persona;4;28;UMBRIA - MOLISE - CALVAIRATE;9.2234747;45.457753;(45.457753, 9.2234747)
6448;Negozio storico;Storica attività;MI;MILANO;Via Spartaco, 31;20135;15146;Vismoto snc;VISMOTO;1919;2010;Auto e Moto;4;26;XXII MARZO;9.2120706;45.4581473;(45.4581473, 9.2120706)
6373197;Negozio storico;Storica attività;MI;MILANO;VIA RONCHI 0002;20134;15146;TESSUTI RAPONI DI ENRICO MARIA RAPONI SAS;TESSUTI RAPONI;1976;2025;Casa e arredamento;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.2373604;45.4868751;(45.4868751, 9.2373604)
6258;Negozio storico;Storica attività;MI;MILANO;Via Hoepli, 3;20121;15146;Ravizza Sport S.r.l.;RAVIZZA SPORT;1871;2010;Abbigliamento e accessori;1;1;DUOMO;9.1922;45.46626;(45.46626, 9.1922)
6334;Negozio storico;Storica attività;MI;MILANO;VIA SAN DAMIANO, 4;20122;15146;DELLERA SRL;DELLERA;1937;2010;Abbigliamento e accessori;1;4;GUASTALLA;9.2002365;45.4677459;(45.4677459, 9.2002365)
7229;Negozio storico;Storica attività;MI;MILANO;VIA GIUSEPPE MAZZINI, 8;20123;15146;FUGAZZI MARIO S.N.C. DI MARIO E ANTONIO FUGAZZI;GIOIELLERIA MARIO FUGAZZI;1914;2015;Preziosi;1;1;DUOMO;9.188385;45.4630398;(45.4630398, 9.188385)
2298345;Negozio storico;Storica attività;MI;MILANO;JENNER 0060;20159;15146;RADIO JENNER S.A.S. DI SERGIO PALADINI & C.;COECO;1956;2020;Attrezzature;9;79;DERGANO;9.1737912;45.49691;(45.49691, 9.1737912)
7200;Negozio storico;Storica attività;MI;MILANO;Via Montenapoleone, 8;20121;15146;Red and Blue S.R.L.;RED AND BLUE;1948;2012;Abbigliamento e accessori;1;1;DUOMO;9.19573;45.4678896;(45.4678896, 9.19573)
6905;Negozio storico;Storica attività;MI;MILANO;Viale Certosa, 21;20149;15146;FRATELLI GALBIATI S.R.L.;GALBIATI ARREDA;1951;2010;Casa e arredamento;8;67;PORTELLO;9.1527155;45.4893175;(45.4893175, 9.1527155)
7432309;Negozio storico;Storica attività;MI;MILANO;ALZAIA NAVIGLIO GRANDE 0038;20144;15146;IL DISCOMANE SNC DI VALERIA BALDAN & C.;IL DISCOMANE;1985;2026;Attrezzature;6;44;PORTA TICINESE - CONCHETTA;9.172425;45.45137058;(45.45137058, 9.172425)
6351;Negozio storico;Storica attività;MI;MILANO;PIAZZA DEL TRICOLORE, 2;20129;15146;Colombo Della Volta S.r.l.;FIORISTA COLOMBO DELLA VOLTA;1928;2010;Sport e tempo libero;1;4;GUASTALLA;9.2063002;45.4675571;(45.4675571, 9.2063002)
3204624;Negozio storico;Storica attività;MI;MILANO;CORSO MAGENTA 0027;20123;15146;BUSCEMI HI-FI DI BUSCEMI PIETRO & C. SAS;BUSCEMI HI-FI;1969;2021;Attrezzature;1;1;DUOMO;9.1770273;45.4659193;(45.4659193, 9.1770273)
7412;Negozio storico;Storica attività;MI;MILANO;VIA PADOVA, 157;20127;15146;LANFRANCHI ANGELO CARLO;ANGELO LANFRANCHI DAL 1961;1961;2015;Auto e Moto;2;19;PADOVA - TURRO - CRESCENZAGO;9.2353928;45.5003888;(45.5003888, 9.2353928)
7833;Negozio storico;Storica attività;MI;MILANO;PIAZZA ANTONIO GRAMSCI, 12;20154;15146;FRANCONE S.R.L.;CONCESSIONARIA FRANCONE;1956;2018;Auto e Moto;8;69;SARPI;9.1683058;45.4822942;(45.4822942, 9.1683058)
5574824;Negozio storico;Storica attività;MI;MILANO;VIA ROSA MASSARA DE CAPITANI 14;20158;15146;OLIVA DI PELOSI LINO & C.-S.N.C.;OLIVA;1980;2024;Attrezzature;9;77;BOVISA;9.1646275;45.5003499;(45.5003499, 9.1646275)
8350;Negozio storico;Storica attività;MI;MILANO;VIA MERCATO, 24;20121;15146;BARONI FRANCESCO;PANETTERIA;1968;2020;Alimentari e specialità alimentari;1;2;BRERA;9.1843285;45.4713353;(45.4713353, 9.1843285)
6434641;Bottega artigiana storica;Storica attività artigiana;MI;MILANO;VIA NICOLA ANTONIO PORPORA 156;20131;15146;PASTICCERIA NAPOLETANA DE LUCA DI DE LUCA GIOVANNI;PASTICCERIA NAPOLETANA DE LUCA;1983;2025;Gelaterie, pasticcerie e torrefazioni;3;22;CITTA' STUDI;9.2319729;45.4859857;(45.4859857, 9.2319729)
5439272;Locale storico;Storica attività;MI;MILANO;PIAZZA LEGA LOMBARDA 0005;20154;15146;LA LEGA S.R.L.;NUOVA ARENA;1982;2024;Ristorazione;1;69;SARPI;9.1802127;45.4780415;(45.4780415, 9.1802127)
6754;Locale storico;Storica attività;MI;MILANO;CORSO DI PORTA VIGENTINA, 10;20122;15146;SCARINGI S.R.L.;PASTICCERIA PARADISO;1949;2010;Gelaterie, pasticcerie e torrefazioni;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.195548;45.4553932;(45.4553932, 9.195548)
7971;Negozio storico;Storica attività;MI;MILANO;VIA DELLE FORZE ARMATE, 24;20147;15146;CINZIA ROSSI GIOIELLI;CINZIA ROSSI GIOIELLI;1961;2018;Preziosi;7;52;BANDE NERE;9.1358484;45.4633456;(45.4633456, 9.1358484)
6234;Negozio storico;Negozio storico;MI;MILANO;Via Panfilo Castaldi, 29;20124;15146;ditta individuale;ANTICA FARMACIA DEL LAZZARETTO;1750;2010;Salute e benessere;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.2035751;45.4765286;(45.4765286, 9.2035751)
6366;Negozio storico;Storica attività;MI;MILANO;Via G.C.Passeroni, 1;20135;15146;ditta individuale;CASTELLUCCHIO GOMME;1946;2010;Auto e Moto;5;27;PTA ROMANA;9.2053332;45.4497427;(45.4497427, 9.2053332)
7575;Locale storico;Storica attività;MI;MILANO;PIAZZALE CADORNA LUIGI, 9;20123;15146;CORIGLIANO VINCENZO;PASTICCERIA VILLA CAFFETTERIA;1896;2017;Bar e tabaccheria;1;7;MAGENTA - S. VITTORE;9.176425;45.4676762;(45.4676762, 9.176425)
7594;Negozio storico;Storica attività;MI;MILANO;VIA DIGIONE, 9;20144;15146;CARMINATI ANGELO;PANIFICIO CARMINATI PANE E DOLCI;1962;2018;Alimentari e specialità alimentari;7;51;PORTA MAGENTA;9.1552378;45.4604038;(45.4604038, 9.1552378)
3194372;Negozio storico;Storica attività;MI;MILANO;CORSO ITALIA 0016;20122;15146;CIVELLI DI PIER GIORGIO CIVELLI & C. S.R.L.;CIVELLI 1961;1961;2021;Alimentari e specialità alimentari;1;1;DUOMO;9.1874839;45.4578991;(45.4578991, 9.1874839)
6427;Negozio storico;Storica attività;MI;MILANO;Via Vigna, 5;20123;15146;Salumeria Lia S.n.c.;SALUMERIA LIA;1907;2010;Alimentari e specialità alimentari;1;1;DUOMO;9.1795639;45.4639869;(45.4639869, 9.1795639)
7536;Negozio storico;Storica attività;MI;MILANO;VIALE UMBRIA, 82;20135;15146;MAGNANI GIOIELLI S.N.C. DI MAGNANI ANNA;MAGNANI GIOIELLI;1963;2015;Preziosi;4;28;UMBRIA - MOLISE - CALVAIRATE;9.2172815;45.4566274;(45.4566274, 9.2172815)
6956;Negozio storico;Storica attività;MI;MILANO;Via Rovello, 18;20121;15146;Zanda snc;ZANDA SERRATURE DI SICUREZZA;1911;2010;Attrezzature;1;2;BRERA;9.1840376;45.4682557;(45.4682557, 9.1840376)
6768;Negozio storico;Storica attività;MI;MILANO;CORSO ITALIA, 6;20122;15146;La Bottega del Timbro srl;LA BOTTEGA DEL TIMBRO;1929;2010;Cartoleria e libreria;1;1;DUOMO;9.1879374;45.4599615;(45.4599615, 9.1879374)
6440;Negozio storico;Storica attività;MI;MILANO;VIA CORRENTI CESARE, 2;20123;15146;TUTTO PER LO SPORT POLARE S.R.L.;TUTTO PER LO SPORT;1926;2010;Abbigliamento e accessori;1;1;DUOMO;9.1806282;45.4600936;(45.4600936, 9.1806282)
6770;Locale storico;Storica attività;MI;MILANO;VIALE MONZA, 91;20125;15146;PASTICCERIA GIOVA & C 1930 S.R.L.;PASTICCERIA G. COVA & C.;1930;2010;Gelaterie, pasticcerie e torrefazioni;2;20;LORETO - CASORETTO - NOLO;9.2193357;45.4955307;(45.4955307, 9.2193357)
7578;Negozio storico;Storica attività;MI;MILANO;VIA ANTONIO MARIA CERIANI, 26;20153;15146;BERNASCONI BRUNO;FERRAMENTA AL MURUNASC;1921;2017;Casa e arredamento;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;9.0889099;45.4622478;(45.4622478, 9.0889099)
6405;Negozio storico;Storica attività;MI;MILANO;VLE UMBRIA, 66;20135;15146;VIETRI LEONARDO;PANIFICIO;1952;2010;Alimentari e specialità alimentari;4;28;UMBRIA - MOLISE - CALVAIRATE;9.2166012;45.4551295;(45.4551295, 9.2166012)
7840;Locale storico;Storica attività;MI;MILANO;VIA SENATO, 7;20121;15146;IL BARETTO AL BAGLIONI S.R.L.;IL BARETTO AL BAGLIONI;1964;2018;Ristorazione;1;1;DUOMO;9.1983368;45.4693891;(45.4693891, 9.1983368)
6771;Locale storico;Storica attività;MI;MILANO;VIA GONZAGA, 6;20123;15146;Ristorante da Bruno sas;RISTORANTE DA BRUNO;1939;2010;Ristorazione;1;1;DUOMO;9.1887847;45.4615113;(45.4615113, 9.1887847)
6397468;Bottega artigiana storica;Storica attività artigiana;MI;MILANO;VIA PIERO DELLA FRANCESCA 74;20154;15146;SALONE CAPUANO S.N.C. DI GAETANO CAPUANO & C.;ACCONCIATORI CAPUANO;1985;2025;Cura della persona;8;69;SARPI;9.1594524;45.486724;(45.486724, 9.1594524)
8110;Negozio storico;Storica attività;MI;MILANO;CORSO EUROPA, 10;20122;15146;S.A.S. MARCONI DI CARLO MARCONI E C.;ARGENTERIA MARCONI;1974;2019;Preziosi;1;1;DUOMO;9.1964144;45.4640189;(45.4640189, 9.1964144)
6373544;Negozio storico;Storica attività;MI;MILANO;VIALE PIAVE 5;20129;15146;CIAST S.A.S. DI BORRELLI MARCO & C.;CIAST;1977;2025;Attrezzature;1;4;GUASTALLA;9.206677;45.4692985;(45.4692985, 9.206677)
6331;Locale storico;Storica attività;MI;MILANO;Via Algarotti, 20;20124;15146;Ristorante Da Berti srl;RISTORANTE DA BERTI;1843;2010;Ristorazione;2;11;ISOLA;9.1966734;45.4885413;(45.4885413, 9.1966734)
4589502;Negozio storico;Storica attività;MI;MILANO;VIA RODOLFO CARABELLI 15;20137;15146;BOERCI S.A.S. DI BOERCI RENZO E C.;OREFICERIA BOERCI;1973;2023;Preziosi;4;28;UMBRIA - MOLISE - CALVAIRATE;9.2230111;45.450694;(45.450694, 9.2230111)
